r,alpha,beta,x
"[0.22733371893309123, 0.502771404969848, 0.15246615436878114, 0.5348792860471577, 0.41963423366003355]","[0.14265466809513638, 0.12385810252280934, 0.09258185819127401, 0.052048204789835954, 0.08547300364637861]","[0.4868299601984335, 0.5233695895333544, 0.4693458904044765, 0.3546829961422137, 0.41609862790688124]","[14.265466809513638, 32.46074739249973, 9.258185819127402, 35.46829961422137, 8.547300364637861]"
"[0.36036885928274226, 0.3659145870617586, 0.2804418952739956, 0.1766621255505335, 0.11871131387659108]","[0.07855618148386058, 0.1499691119413899, 0.06881641842841105, 0.11340700130858876, 0.12495981911189737]","[0.48150526223004525, 0.393685533687287, 0.5146699386038054, 0.41550782185336194, 0.4685040912427715]","[29.913122746381575, 39.3685533687287, 6.881641842841105, 11.340700130858876, 12.495981911189737]"
"[0.3875017636483899, 0.14329619096775403, 0.2558838595018255, 0.4756930324399916, 0.2468488505491746]","[0.07949317939347891, 0.07870570015488439, 0.13127966364946503, 0.1193962401907876, 0.059513154891516734]","[0.4578957726075984, 0.3678406619114605, 0.528661518237217, 0.4888749457643593, 0.46751787294340563]","[24.162653553977464, 7.870570015488439, 13.127966364946502, 48.88749457643593, 5.951315489151673]"
"[0.5072806479008665, 0.26694278385899745, 0.3495956422446928, 0.4470104259786445, 0.16250596977837684]","[0.1482702273649673, 0.0745038032944905, 0.09479190156976051, 0.05913704432871513, 0.08788255690665811]","[0.4595214552526161, 0.47870840355110367, 0.4593625722113224, 0.45297404994863744, 0.4050132970638905]","[45.952145525261614, 7.450380329449049, 9.47919015697605, 28.330028297647477, 8.78825569066581]"
"[0.1720938396427707, 0.08468050939814366, 0.08807279895099741, 0.302167946865225, 0.4657482441355837]","[0.08341957419163663, 0.11829280996047135, 0.08263336265754932, 0.05808109280764201, 0.09927898941563261]","[0.495864370246114, 0.4996241132536945, 0.5126197978749171, 0.48032427567365277, 0.48860845058910446]","[8.341957419163663, 11.829280996047135, 8.263336265754932, 22.704580260123826, 48.86084505891045]"
"[0.2562659935178846, 0.24465167145724787, 0.3719579514727745, 0.4071760830511518, 0.329053165944734]","[0.0708796429358059, 0.05478759845052215, 0.08047965425171685, 0.10105386237680641, 0.0718179862368071]","[0.526293209812386, 0.5105489455307488, 0.3886072139540668, 0.5355986957400889, 0.5061261519108331]","[7.0879642935805895, 5.478759845052215, 26.691607663677615, 53.559869574008886, 7.18179862368071]"
"[0.125064324360682, 0.15103863951275392, 0.4109037504935057, 0.16598898130284412, 0.1359446448696477]","[0.09886574923884611, 0.07273681965805948, 0.12152127448748055, 0.08396852080708657, 0.14408125841433833]","[0.4543739175332884, 0.35331513643814083, 0.37874750493900733, 0.4837750884046865, 0.3874119432142308]","[9.886574923884611, 7.273681965805948, 37.874750493900734, 30.556866774974875, 14.408125841433833]"
"[0.142594038064568, 0.43377213871854414, 0.07492367912594196, 0.07143170916874843, 0.30941001980516053]","[0.08919584822868573, 0.10616710216267483, 0.13144632489932903, 0.06668043697581061, 0.07663441709508559]","[0.3845524953732254, 0.5490283587316529, 0.4313956561854725, 0.48284798854113387, 0.5017302830369156]","[8.919584822868574, 54.90283587316529, 13.144632489932903, 6.66804369758106, 16.364903116452176]"
"[0.191008554551242, 0.08270071350329246, 0.06581084787729925, 0.24448798696949475, 0.11331679375717464]","[0.07584173538950632, 0.11400482958000663, 0.07302867966537945, 0.0743143825303376, 0.10065953016561205]","[0.3997047172114312, 0.4488411657298831, 0.39346332706917886, 0.38166158676109185, 0.4104999620313453]","[33.064537382791, 11.400482958000662, 7.302867966537945, 38.166158676109184, 10.065953016561204]"
"[0.1631158032167288, 0.2971613260966435, 0.2261716498328163, 0.4544762099181345, 0.23579296543499523]","[0.11808541136828084, 0.10984865972546662, 0.05679263785225876, 0.0777258520180864, 0.11603351750410136]","[0.38195708540963974, 0.37561621756065333, 0.48703983652358884, 0.5206897940995918, 0.43350831794503075]","[11.808541136828083, 18.839863917576714, 5.679263785225876, 52.068979409959184, 11.603351750410136]"
"[0.34744250631935636, 0.3572720645283363, 0.28566516586142665, 0.3102090821380271, 0.17210842578723157]","[0.09884546147000442, 0.14807405983849087, 0.07443559025478413, 0.10236170147017878, 0.13857440681923705]","[0.489128447656917, 0.3626499646742998, 0.4181708158521476, 0.4626725284407557, 0.4995292694300344]","[32.19783367815003, 36.26499646742998, 7.443559025478414, 10.236170147017878, 13.857440681923705]"
"[0.13697108039508665, 0.3072833689502999, 0.4793882611708666, 0.4369441106647452, 0.31523827544482486]","[0.11657841921334995, 0.07008301525935413, 0.09303907941881781, 0.11622004741813306, 0.13683328051534388]","[0.5008472741785222, 0.5443028563081475, 0.5051886386027936, 0.40456177146719974, 0.4908454917589719]","[11.657841921334995, 7.008301525935414, 50.51886386027936, 17.13166464091585, 13.683328051534389]"
"[0.17675779254475543, 0.2015326749714647, 0.42354489314152743, 0.3359174471966704, 0.3315334710345491]","[0.05795359644272369, 0.1328522458586568, 0.10786975491511064, 0.11450733695922523, 0.06759027765177376]","[0.4762236241532073, 0.35601690570155325, 0.3779938273012455, 0.545617439519946, 0.42216814125883606]","[5.795359644272368, 13.285224585865679, 37.79938273012455, 36.36100527456003, 6.759027765177376]"
"[0.2242794154403311, 0.057278841876241396, 0.2835338802388776, 0.34260996241985797, 0.1456148438690788]","[0.0781013777155534, 0.11182743995439301, 0.07153171061717965, 0.06541404892508017, 0.08618167045923775]","[0.48666446748559544, 0.44657525979983037, 0.5050233119350722, 0.46849847454231186, 0.4689474190693475]","[7.81013777155534, 11.182743995439301, 25.539103732850414, 46.84984745423119, 8.618167045923775]"
"[0.5061940609488159, 0.42894989223024055, 0.08575436326908133, 0.23035618582256284, 0.29551370924191905]","[0.12312547479203315, 0.08859558886187362, 0.14666746595904084, 0.08845788962585015, 0.052792864492426574]","[0.4599577598827421, 0.5130999183284585, 0.35512622722708964, 0.458435648358956, 0.45122318259497063]","[45.99577598827421, 25.21240200399403, 14.666746595904085, 8.845788962585015, 5.279286449242657]"
"[0.36658289805592875, 0.377817232537547, 0.15658826615067373, 0.48814153475309374, 0.2755431550725719]","[0.13023294409006964, 0.07880814210469211, 0.0902736684254421, 0.09896003413632096, 0.1325337193719835]","[0.46465264486168567, 0.3790276046918993, 0.3671248084959164, 0.3999231807074136, 0.4447167288270845]","[13.023294409006963, 24.70364874050911, 9.02736684254421, 39.99231807074136, 13.253371937198349]"
"[0.17769756786465396, 0.38283407343732495, 0.4834630437053799, 0.43248339898370386, 0.33879313086715745]","[0.11596234554761009, 0.08523377318467545, 0.1169192609740383, 0.13010483260353167, 0.05996698220382271]","[0.4722811240016681, 0.43895671082753857, 0.38769079507625415, 0.36774604504852215, 0.4503561872975297]","[11.59623455476101, 8.523377318467546, 38.76907950762541, 35.11461039876375, 5.996698220382271]"
"[0.3612885834300291, 0.1133374776605094, 0.19122421975329795, 0.17893379686349475, 0.1871194182969348]","[0.13869484876426685, 0.060083451083443075, 0.09410698175644015, 0.08900886931576026, 0.1307622187400288]","[0.5074765270376579, 0.5315158179517201, 0.4904707917568268, 0.35965513397007315, 0.5391479555388754]","[50.74765270376579, 6.008345108344307, 21.266893382311, 8.900886931576025, 13.07622187400288]"
"[0.5445936914458253, 0.2597137046212222, 0.37077370880831273, 0.4543658054637182, 0.20584236790772747]","[0.0746826336816754, 0.06200860068950817, 0.14486860853093977, 0.06102860760576234, 0.08180181936953694]","[0.3998250861579571, 0.4868909785083563, 0.39290407142174893, 0.38071895105982234, 0.4346757318576727]","[39.98250861579571, 6.200860068950817, 14.486860853093978, 31.1495885252058, 8.180181936953694]"
"[0.23242631873513736, 0.1936451474151315, 0.34541716951093615, 0.30057327373798515, 0.24134149844017994]","[0.12818646679706325, 0.06310866754879321, 0.1081722428039052, 0.1458819717897923, 0.05961767650374383]","[0.3507317161274617, 0.4407799255729559, 0.4058200008738902, 0.5017735099838947, 0.510146817446073]","[12.818646679706324, 6.310866754879322, 40.58200008738902, 34.32671882765095, 5.961767650374384]"
